,date,value,name_B00Q4SB2AY
0,2020-02-25,6730.0,Ankle Braces
1,2020-02-26,6730.0,Ankle Braces
2,2020-02-27,6730.0,Ankle Braces
3,2020-02-28,6730.0,Ankle Braces
4,2020-02-29,6730.0,Ankle Braces
5,2020-03-01,6730.0,Ankle Braces
6,2020-03-02,6730.0,Ankle Braces
7,2020-03-03,-1.0,Ankle Braces
8,2020-03-04,-1.0,Ankle Braces
9,2020-03-05,-1.0,Ankle Braces
10,2020-03-06,-1.0,Ankle Braces
11,2020-03-07,-1.0,Ankle Braces
12,2020-03-08,-1.0,Ankle Braces
13,2020-03-09,-1.0,Ankle Braces
14,2020-03-10,-1.0,Ankle Braces
15,2020-03-11,-1.0,Ankle Braces
16,2020-03-12,-1.0,Ankle Braces
17,2020-03-13,-1.0,Ankle Braces
18,2020-03-14,-1.0,Ankle Braces
19,2020-03-15,-1.0,Ankle Braces
20,2020-03-16,-1.0,Ankle Braces
21,2020-03-17,-1.0,Ankle Braces
22,2020-03-18,-1.0,Ankle Braces
23,2020-03-19,-1.0,Ankle Braces
24,2020-03-20,-1.0,Ankle Braces
25,2020-03-21,-1.0,Ankle Braces
26,2020-03-22,-1.0,Ankle Braces
27,2020-03-23,-1.0,Ankle Braces
28,2020-03-24,-1.0,Ankle Braces
29,2020-03-25,-1.0,Ankle Braces
30,2020-03-26,-1.0,Ankle Braces
31,2020-03-27,-1.0,Ankle Braces
32,2020-03-28,-1.0,Ankle Braces
33,2020-03-29,-1.0,Ankle Braces
34,2020-03-30,-1.0,Ankle Braces
35,2020-03-31,-1.0,Ankle Braces
36,2020-04-01,-1.0,Ankle Braces
37,2020-04-02,-1.0,Ankle Braces
38,2020-04-03,-1.0,Ankle Braces
39,2020-04-04,-1.0,Ankle Braces
40,2020-04-05,-1.0,Ankle Braces
41,2020-04-06,-1.0,Ankle Braces
42,2020-04-07,-1.0,Ankle Braces
43,2020-04-08,-1.0,Ankle Braces
44,2020-04-09,-1.0,Ankle Braces
45,2020-04-10,-1.0,Ankle Braces
46,2020-04-11,-1.0,Ankle Braces
47,2020-04-12,-1.0,Ankle Braces
48,2020-04-13,-1.0,Ankle Braces
49,2020-04-14,-1.0,Ankle Braces
50,2020-04-15,-1.0,Ankle Braces
51,2020-04-16,-1.0,Ankle Braces
52,2020-04-17,-1.0,Ankle Braces
53,2020-04-18,-1.0,Ankle Braces
54,2020-04-19,-1.0,Ankle Braces
55,2020-04-20,-1.0,Ankle Braces
56,2020-04-21,-1.0,Ankle Braces
57,2020-04-22,-1.0,Ankle Braces
58,2020-04-23,-1.0,Ankle Braces
59,2020-04-24,-1.0,Ankle Braces
60,2020-04-25,-1.0,Ankle Braces
61,2020-04-26,-1.0,Ankle Braces
62,2020-04-27,-1.0,Ankle Braces
63,2020-04-28,-1.0,Ankle Braces
64,2020-04-29,-1.0,Ankle Braces
65,2020-04-30,-1.0,Ankle Braces
66,2020-05-01,-1.0,Ankle Braces
67,2020-05-02,-1.0,Ankle Braces
68,2020-05-03,-1.0,Ankle Braces
69,2020-05-04,-1.0,Ankle Braces
70,2020-05-05,-1.0,Ankle Braces
71,2020-05-06,-1.0,Ankle Braces
72,2020-05-07,-1.0,Ankle Braces
73,2020-05-08,-1.0,Ankle Braces
74,2020-05-09,-1.0,Ankle Braces
75,2020-05-10,-1.0,Ankle Braces
76,2020-05-11,-1.0,Ankle Braces
77,2020-05-12,-1.0,Ankle Braces
78,2020-05-13,-1.0,Ankle Braces
79,2020-05-14,-1.0,Ankle Braces
80,2020-05-15,-1.0,Ankle Braces
81,2020-05-16,-1.0,Ankle Braces
82,2020-05-17,-1.0,Ankle Braces
83,2020-05-18,-1.0,Ankle Braces
84,2020-05-19,-1.0,Ankle Braces
85,2020-05-20,-1.0,Ankle Braces
86,2020-05-21,-1.0,Ankle Braces
87,2020-05-22,20356.0,Ankle Braces
88,2020-05-23,20356.0,Ankle Braces
89,2020-05-24,20356.0,Ankle Braces
90,2020-05-25,21075.0,Ankle Braces
91,2020-05-26,21075.0,Ankle Braces
92,2020-05-27,21075.0,Ankle Braces
93,2020-05-28,19748.0,Ankle Braces
94,2020-05-29,20506.0,Ankle Braces
95,2020-05-30,20506.0,Ankle Braces
96,2020-05-31,20506.0,Ankle Braces
97,2020-06-01,20506.0,Ankle Braces
98,2020-06-02,22915.0,Ankle Braces
99,2020-06-03,22915.0,Ankle Braces
100,2020-06-04,22915.0,Ankle Braces
101,2020-06-05,14588.0,Ankle Braces
102,2020-06-06,14588.0,Ankle Braces
103,2020-06-07,20795.0,Ankle Braces
104,2020-06-08,23777.0,Ankle Braces
105,2020-06-09,23777.0,Ankle Braces
106,2020-06-10,16556.0,Ankle Braces
107,2020-06-11,16556.0,Ankle Braces
108,2020-06-12,16556.0,Ankle Braces
109,2020-06-13,19596.0,Ankle Braces
110,2020-06-14,19596.0,Ankle Braces
111,2020-06-15,19596.0,Ankle Braces
112,2020-06-16,21879.0,Ankle Braces
113,2020-06-17,19048.0,Ankle Braces
114,2020-06-18,19048.0,Ankle Braces
115,2020-06-19,18133.0,Ankle Braces
116,2020-06-20,18133.0,Ankle Braces
117,2020-06-21,18133.0,Ankle Braces
118,2020-06-22,18133.0,Ankle Braces
119,2020-06-23,22481.0,Ankle Braces
120,2020-06-24,22481.0,Ankle Braces
121,2020-06-25,19790.0,Ankle Braces
122,2020-06-26,19790.0,Ankle Braces
123,2020-06-27,19790.0,Ankle Braces
124,2020-06-28,23346.0,Ankle Braces
125,2020-06-29,23346.0,Ankle Braces
126,2020-06-30,23346.0,Ankle Braces
127,2020-07-01,18502.0,Ankle Braces
128,2020-07-02,21805.0,Ankle Braces
129,2020-07-03,21805.0,Ankle Braces
130,2020-07-04,21805.0,Ankle Braces
131,2020-07-05,21805.0,Ankle Braces
132,2020-07-06,21805.0,Ankle Braces
133,2020-07-07,21805.0,Ankle Braces
134,2020-07-08,24256.0,Ankle Braces
135,2020-07-09,24256.0,Ankle Braces
